Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Tilburg Thomas van Aquinostraat;Fatna Stigter;06-76364799;FatnaStigter@fleckens.hu;Edisonlaan 6;Tilburg;maandag 3 juli 2017;Afhalen;maandag 3 juli 2017;18:12;Chicken Supreme;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 76,65;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 74,65
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;;2;Kip, Rode Ui;€ 2,00;€ 19,90;;;;
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 23,90;;;;

Gorinchem;Sebahat Raatjes;06-28424413;SebahatRaatjes@einrot.com;Colvenierstraat 16;Gorinchem;dinsdag 23 april 2019;Bezorgen;dinsdag 23 april 2019;18:54;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 13,95;;€ 0,00;€ 13,95

Amsterdam Bos en Lommerweg;Jeppe Geraets;06-73171326;JeppeGeraets@rhyta.com;Laurierstraat 169;Amsterdam;woensdag 14 augustus 2019;Bezorgen;woensdag 14 augustus 2019;16:07;BBQ Cannibale;Medium Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 6,95;€ 6,95;3e pizza gratis bij bezorgen;€ 0,00;€ 6,95

Den Haag Torenstraat;Stern Thielen;06-36314675;SternThielen@einrot.com;Parelmoervlinder 107;Enschede;vrijdag 11 januari 2019;Afhalen;vrijdag 11 januari 2019;20:58;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Harderwijk;Donja Mons;06-43641904;DonjaMons@rhyta.com;Lemmerpad 78;Harderwijk;donderdag 13 juli 2017;Afhalen;donderdag 13 juli 2017;18:48;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 39,80;;€ 0,00;€ 39,80
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;;2;;€ 0,00;€ 17,90;;;;

Heerhugowaard;Tess Griekspoor;06-74591575;TessGriekspoor@dayrep.com;Henriette Henriquez Pimenteltuin 62;Heerhugowaard;maandag 11 juni 2018;Afhalen;maandag 11 juni 2018;18:49;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 49,70;;€ 0,00;€ 49,70
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 35,80;;;;

Velp;Naouar Leushuis;06-79467547;NaouarLeushuis@teleworm.us;Woelwijkstraat 116;Rotterdam;donderdag 6 juli 2017;Bezorgen;donderdag 6 juli 2017;17:54;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;1;Kaasmix;€ 1,50;€ 11,45;€ 20,40;;€ 0,00;€ 20,40
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Rotterdam Zuidplein;Hanifa Engelberts;06-13616480;HanifaEngelberts@jourrapide.com;Joost van Geelstraat 185;Rotterdam;maandag 16 juli 2018;Bezorgen;maandag 16 juli 2018;18:38;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 80,60;;€ 0,00;€ 80,60
;;;;;;;;;;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;4;;€ 0,00;€ 39,80;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Emmen;Paulus Veenhof;06-62087738;PaulusVeenhof@dayrep.com;Verlengde Scholtenskanaal Oostzijde 145;Emmer-Compascuum;vrijdag 6 september 2019;Bezorgen;vrijdag 6 september 2019;20:04;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 30,85;;€ 0,00;€ 30,85
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Deluxe;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;

Nijmegen;Christie Aalbers;06-14420747;ChristieAalbers@superrito.com;Heyendaalseweg 139;Nijmegen;zondag 26 november 2017;Afhalen;zondag 26 november 2017;19:39;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 31,80;;€ 0,00;€ 31,80
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Utrecht Rijnlaan;Delal van Engelenburg;06-18723760;DelalvanEngelenburg@fleckens.hu;Auriollaan 128;Utrecht;vrijdag 1 juni 2018;Afhalen;vrijdag 1 juni 2018;20:16;Pollo Pomodore;Large Pizza;Tomatensaus;€ 8,95;;2;;€ 0,00;€ 25,90;€ 63,70;25% korting op je bestelling;€ 15,93;€ 47,78
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 17,90;;;;

Haarlem Zuid;Claudia Vloedgraven;06-95066832;ClaudiaVloedgraven@fleckens.hu;Van Beresteynstraat 26;Haarlem;woensdag 27 februari 2019;Bezorgen;woensdag 27 februari 2019;19:18;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;€ 7,95;;€ 0,00;€ 7,95

Meppel;Gabrielle Lucassen;06-12808201;GabrielleLucassen@armyspy.com;Griftestuk 118;Nijeveen;zaterdag 12 mei 2018;Afhalen;zaterdag 12 mei 2018;19:37;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 15,90;€ 15,90;;€ 0,00;€ 15,90

Nieuwegein;Ebony Sollie;06-23056976;EbonySollie@cuvox.de;De Liesbosch 6;Nieuwegein;maandag 29 juli 2019;Afhalen;maandag 29 juli 2019;19:03;Americana;Large Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 10,95;€ 19,90;;€ 0,00;€ 19,90
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;

Weert;Choukri van der Zwaag;06-22007217;ChoukrivanderZwaag@superrito.com;Molenakkerplein 140;Weert;vrijdag 11 augustus 2017;Bezorgen;vrijdag 11 augustus 2017;18:13;Americana;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 62,70;;€ 0,00;€ 62,70
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;

Delft Binnenwatersloot;Margaret Schoorlemmer;06-98620102;MargaretSchoorlemmer@teleworm.us;Dirk Costerplein 195;Delft;woensdag 29 augustus 2018;Bezorgen;woensdag 29 augustus 2018;19:44;Tonno;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 9,95;€ 95,60;;€ 0,00;€ 95,60
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;€ 4,95;€ 2,00;4;Bacon, Ananas;€ 2,00;€ 43,80;;;;
;;;;;;;;;;Veggi;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Chicken Kebab, Ananas, Honing Mosterdsaus, Honing Mosterdsaus;€ 4,00;€ 16,95;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Chicken Kebab, Basilicum;€ 2,50;€ 24,90;;;;

Den Bosch Empel;Jihan Melchers;06-39865132;JihanMelchers@dayrep.com;Diamantborch 9;Rosmalen;zondag 12 februari 2017;Afhalen;zondag 12 februari 2017;17:32;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;;2;;€ 0,00;€ 19,90;€ 52,70;;€ 0,00;€ 52,70
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;;;;

Utrecht Marnixlaan;Marenne Aras;06-87063742;MarenneAras@superrito.com;Andrej Sacharowplein 168;Utrecht;woensdag 31 mei 2017;Afhalen;woensdag 31 mei 2017;17:40;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 13,90;€ 25,85;;€ 0,00;€ 25,85
;;;;;;;;;;Tonno;Family XXL Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 11,95;;;;

De Meern;Geeta van Hameren;06-53089523;GeetavanHameren@jourrapide.com;Imkerweg 179;Huizen;maandag 30 januari 2017;Afhalen;maandag 30 januari 2017;16:07;Beenham;Medium Pizza;Tomatensaus;€ 6,95;;1;Basilicum, Geitenkaas, Champignons, Ham;€ 3,50;€ 10,45;€ 24,40;2e pizza gratis bij afhalen;€ 8,95;€ 15,45
;;;;;;;;;;Tricolore;Family XXL Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 13,95;;;;

Bussum;Nadeem Stubbe;06-29344737;NadeemStubbe@rhyta.com;De Nieuwe Vaart 196;Bussum;dinsdag 21 februari 2017;Bezorgen;dinsdag 21 februari 2017;19:18;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 14,95;€ 60,80;;€ 0,00;€ 60,80
;;;;;;;;;;Veggi;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Pollo Pomodore;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 31,90;;;;

IJmuiden;Elmar Polder;06-24415894;ElmarPolder@einrot.com;Schoorlstraat 24;Amsterdam;zondag 24 februari 2019;Afhalen;zondag 24 februari 2019;18:33;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;;2;;€ 0,00;€ 17,90;€ 22,85;3e pizza gratis bij bezorgen;€ 0,00;€ 22,85
;;;;;;;;;;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 4,95;;;;

Nieuwegein;Auke Donselaar;06-57071526;AukeDonselaar@armyspy.com;Koetsdrift 139;Nieuwegein;zondag 3 juni 2018;Bezorgen;zondag 3 juni 2018;19:50;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 11,95;2e pizza gratis bij afhalen;€ 0,00;€ 11,95

Leiderdorp;Niene Loosman;06-61091524;NieneLoosman@teleworm.us;Lisdoddekreek 181;Leiderdorp;dinsdag 6 november 2018;Afhalen;dinsdag 6 november 2018;20:57;Funghi;Large Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 8,95;€ 8,95;3e pizza gratis bij bezorgen;€ 0,00;€ 8,95

Heerenveen;Serhan Sas;06-44288161;SerhanSas@superrito.com;Akkersplein 32;Heerenveen;zaterdag 14 september 2019;Afhalen;zaterdag 14 september 2019;16:18;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;;3;;€ 0,00;€ 20,85;€ 33,80;;€ 0,00;€ 33,80
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 12,95;;;;

Berkel en Rodenrijs;Barend van den Boogaart;06-68088114;BarendvandenBoogaart@fleckens.hu;Abraham Molenaarweg 188;Berkel en Rodenrijs;vrijdag 26 oktober 2018;Bezorgen;vrijdag 26 oktober 2018;18:47;Tonno;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;€ 30,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 28,85
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Pepperoni;€ 1,00;€ 21,90;;;;

Leiden;Fahri Soepboer;06-55108606;FahriSoepboer@superrito.com;Jacob van Campenlaan 49;Leiden;vrijdag 27 september 2019;Bezorgen;vrijdag 27 september 2019;20:37;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 71,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 69,70
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;

Leidschendam;Mickel Pijnaker;06-87122000;MickelPijnaker@fleckens.hu;Park Leeuwensteijn 180;Voorburg;dinsdag 24 april 2018;Afhalen;dinsdag 24 april 2018;18:32;Hawaii;Large Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 21,90;€ 101,60;;€ 0,00;€ 101,60
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;€ 6,95;;4;Basilicum, Verse Tomaat, Pepperoni, Groene Olijven;€ 3,50;€ 61,80;;;;

Groningen Boterdiep;Silke de With;06-32612863;SilkedeWith@fleckens.hu;Gratamastraat 73;Groningen;woensdag 1 mei 2019;Bezorgen;woensdag 1 mei 2019;20:56;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 17,90;€ 105,45;;€ 0,00;€ 105,45
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Caprese;Italian Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;€ 2,00;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;Buffalo Wings;;;€ 3,95; ; 2;;;€ 7,90;;;;

Delft Binnenwatersloot;Marlieke Buitink;06-75737239;MarliekeBuitink@cuvox.de;Caspar Fagelstraat 84;Delft;dinsdag 3 april 2018;Afhalen;dinsdag 3 april 2018;19:11;Caprese;Italian Pizza;Tomatensaus;€ 4,95;;1;;€ 0,00;€ 5,95;€ 37,75;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 35,75
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;;4;;€ 0,00;€ 31,80;;;;

Rotterdam Schiebroek;Ed van Iperen;06-42483114;EdvanIperen@gustr.com;Putsebocht 152;Rotterdam;donderdag 17 augustus 2017;Afhalen;donderdag 17 augustus 2017;19:40;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 12,95;€ 60,75;2e pizza gratis bij afhalen;€ 6,95;€ 53,80
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;2;Rode Ui, Kip, Kip, Gorgonzola;€ 4,00;€ 23,90;;;;

Amsterdam Overtoom;Gianno Collignon;06-81081927;GiannoCollignon@rhyta.com;Volkerakstraat 116;Amsterdam;vrijdag 20 oktober 2017;Bezorgen;vrijdag 20 oktober 2017;17:03;Americana;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;1;Honing Mosterdsaus, Spaanse Pepers;€ 1,50;€ 11,45;€ 36,35;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 34,35
;;;;;;;;;;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;

Osdorp;Shanti Combee;06-94350709;ShantiCombee@gustr.com;Plein 61;Rolde;maandag 19 augustus 2019;Afhalen;maandag 19 augustus 2019;16:06;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Eindhoven Woensel;Dominic ten Napel;06-35859422;DominictenNapel@armyspy.com;Avocadohof 162;Eindhoven;dinsdag 28 mei 2019;Afhalen;dinsdag 28 mei 2019;18:39;Supreme;Large Pizza;Barbecue Saus;€ 7,95;;1;;€ 0,00;€ 11,95;€ 11,95;25% korting op je bestelling;€ 2,99;€ 8,96

Almere;Robina Merx;06-59170361;RobinaMerx@jourrapide.com;Hendrik Werkmanstraat 114;Almere;dinsdag 5 september 2017;Afhalen;dinsdag 5 september 2017;18:16;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Gorinchem;Egberdina Mahmood;06-29139476;EgberdinaMahmood@jourrapide.com;Langendijk 131;Gorinchem;zaterdag 9 november 2019;Afhalen;zaterdag 9 november 2019;17:08;Extravaganzza;Italian Pizza;Tomatensaus;€ 7,95;;1;;€ 0,00;€ 8,95;€ 8,95;25% korting op je bestelling;€ 2,24;€ 6,71

Waalwijk;Jasmin Verhoof;06-31125693;JasminVerhoof@dayrep.com;Ingenieur Lelystraat 41;Waalwijk;zondag 4 maart 2018;Bezorgen;zondag 4 maart 2018;20:17;Bacon Gorgonzola;Italian Pizza;Tomatensaus;€ 8,95;€ 2,00;2;;€ 0,00;€ 23,90;€ 80,65;;€ 0,00;€ 80,65
;;;;;;;;;;Veggi;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;€ 2,00;4;;€ 0,00;€ 43,80;;;;

Lelystad;Miloe Kersbergen;06-18082531;MiloeKersbergen@armyspy.com;Gondel 47;Lelystad;donderdag 26 oktober 2017;Bezorgen;donderdag 26 oktober 2017;17:01;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 12,95;€ 56,75;;€ 0,00;€ 56,75
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Medium Pizza;Barbecue Saus;€ 7,95;€ 2,00;1;;€ 0,00;€ 9,95;;;;

Gorinchem;Hein Schokker;06-25851115;HeinSchokker@gustr.com;Suz van Oostdijkstraat 102;Gorinchem;dinsdag 24 december 2019;Afhalen;dinsdag 24 december 2019;18:31;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;4;;€ 0,00;€ 31,80;€ 64,65;;€ 0,00;€ 64,65
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 23,90;;;;

Papendrecht;Konrad Rutte;06-29576162;KonradRutte@einrot.com;Campanulahof 101;Papendrecht;vrijdag 26 april 2019;Bezorgen;vrijdag 26 april 2019;17:33;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 74,65;;€ 0,00;€ 74,65
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Americana;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Geleen;Georgina Dijkmans;06-45800970;GeorginaDijkmans@jourrapide.com;Irenelaan 157;Geleen;zaterdag 15 juni 2019;Afhalen;zaterdag 15 juni 2019;17:55;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;;2;Verse Tomaat, Knoflooksaus Swirl;€ 1,50;€ 28,90;€ 95,05;;€ 0,00;€ 95,05
;;;;;;;;;;Four Cheese;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Creamy Bacon;Medium Pizza;Creme Fraiche;€ 7,95;;4;;€ 0,00;€ 31,80;;;;
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;;1;Pepperoni, Beenham, Beenham, Beenham;€ 5,50;€ 14,45;;;;

Rijswijk;Ranya Schoeman;06-74034528;RanyaSchoeman@einrot.com;Henriette Roland Holstlaan 26;Rijswijk;zaterdag 26 mei 2018;Bezorgen;zaterdag 26 mei 2018;20:30;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 43,80;;€ 0,00;€ 43,80
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;;;;

Nootdorp;Omer Schmitt;06-58454623;OmerSchmitt@einrot.com;Borculoseweg 115;Neede;vrijdag 1 september 2017;Bezorgen;vrijdag 1 september 2017;18:01;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 21,90;€ 21,90;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 21,90

Utrecht Marnixlaan;Machelina van Wiggen;06-41843600;MachelinavanWiggen@cuvox.de;Aziëlaan 102;Utrecht;woensdag 10 oktober 2018;Bezorgen;woensdag 10 oktober 2018;19:06;Veggi;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;€ 25,90;;€ 0,00;€ 25,90

Hoorn;Ritchie Ahmadi;06-34439459;RitchieAhmadi@jourrapide.com;Binnenluiendijk 166;Hoorn;zondag 19 maart 2017;Afhalen;zondag 19 maart 2017;16:51;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;;2;;€ 0,00;€ 25,90;€ 37,80;;€ 0,00;€ 37,80
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;;2;;€ 0,00;€ 11,90;;;;

Alkmaar;Intissar Santbergen;06-74628136;IntissarSantbergen@rhyta.com;Velasquezhof 48;Alkmaar;dinsdag 20 juni 2017;Afhalen;dinsdag 20 juni 2017;18:08;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Gouda;Claire Horstink;06-19367094;ClaireHorstink@teleworm.us;Reigerstraat 167;Gouda;vrijdag 29 november 2019;Bezorgen;vrijdag 29 november 2019;20:49;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;€ 2,00;1;;€ 0,00;€ 11,95;€ 53,80;;€ 0,00;€ 53,80
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 25,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;€ 2,00;1;;€ 0,00;€ 15,95;;;;

Amsterdam Bos en Lommerweg;Carole Oonincx;06-80000698;CaroleOonincx@fleckens.hu;Leerdamhof 169;Amsterdam-Zuidoost;zaterdag 27 oktober 2018;Afhalen;zaterdag 27 oktober 2018;19:34;Tricolore;Italian Pizza;Creme Fraiche;€ 8,95;;1;;€ 0,00;€ 9,95;€ 9,95;;€ 0,00;€ 9,95

Tilburg Laarstraat;Imen Hemme;06-50227468;ImenHemme@armyspy.com;Oerlesestraat 66;Tilburg;dinsdag 26 maart 2019;Bezorgen;dinsdag 26 maart 2019;17:18;Chicken Supreme;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;1;;€ 0,00;€ 13,95;€ 105,55;2e pizza gratis bij afhalen;€ 0,00;€ 105,55
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;€ 2,00;4;;€ 0,00;€ 43,80;;;;
;;;;;;;;;;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;2;;€ 0,00;€ 27,90;;;;

Veghel;Liduina Eggermont;06-69634955;LiduinaEggermont@dayrep.com;Zuidkade 43;Veghel;zondag 4 augustus 2019;Afhalen;zondag 4 augustus 2019;16:14;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;;4;;€ 0,00;€ 31,80;€ 49,70;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 47,70
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;;2;;€ 0,00;€ 17,90;;;;

Utrecht Marnixlaan;Pam Strijker;06-23221521;PamStrijker@jourrapide.com;Linschotensingel 118;Utrecht;vrijdag 22 december 2017;Bezorgen;vrijdag 22 december 2017;19:23;Deluxe;Family XXL Pizza;Tomatensaus;€ 6,95;€ 2,00;2;;€ 0,00;€ 27,90;€ 76,70;;€ 0,00;€ 76,70
;;;;;;;;;;Four Cheese;Large Pizza;Tomatensaus;€ 7,95;€ 2,00;1;;€ 0,00;€ 13,95;;;;
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;€ 2,00;2;Spinazie, Spaanse Pepers;€ 2,00;€ 23,90;;;;
